,TOTAL SAT
864,10802.07
865,900.0
866,2818.8
867,28600.0
868,90.0
869,1972.75
870,928.0
871,25676.13
872,134.73
873,2320.0
874,580.0
875,22724.77
876,617.25
877,750.18
878,0.0
879,0.0
880,37176.66
881,8352.0
882,620.0
883,995.0
884,990.0
885,770.69
886,17400.0
887,25213.28
888,10802.07
889,1244.72
890,490.58
891,26338.27
892,0.0
893,17574.74
894,0.0
895,0.0
896,0.0
897,2126.5
898,0.0
899,0.0
900,2267.8
901,81.22
902,0.0
903,0.0
904,7747.66
905,7747.66
906,330.0
907,4224.83
908,416.39
909,25521.87
910,328.7
911,21278.22
912,258.25
913,1673.15
914,0.0
915,9914.94
916,16549.94
917,3315.97
918,2030.47
919,23011.52
920,0.0
921,0.0
922,28600.0
923,700.9
924,0.0
925,23214.44
926,0.0
927,15734.18
928,853.76
929,174.0
930,0.0
931,6439.6
932,6440.3
933,619.75
934,1038.2
935,40.05
936,11600.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,417.6
943,0.0
944,4766.66
945,2666.99
946,549.01
947,488.68
948,1196.6
949,25622.21
950,422.85
951,906.45
952,399.0
953,10802.07
954,538.92
955,0.0
956,22.0
957,28705.19
958,313.2
959,1498.7
960,0.0
961,0.0
962,0.0
963,228.0
964,17898.38
965,367.72
966,0.0
967,0.0
968,24517.2
969,1367.45
970,4725.3
971,2676.7
972,10617.04
973,1459.97
974,29008.47
975,6183.94
976,26693.32
977,245.41
978,4455.06
979,152.0
980,0.0
981,1540.0
982,1126.48
983,24786.66
984,129.67
985,69.0
986,3480.0
987,1219.1
988,3480.0
989,3480.0
990,0.0
991,4194.39
992,14984.43
993,0.0
994,25696.39
995,10802.07
996,99.01
997,1689.34
998,25820.76
999,17014.58
1000,28035.49
1001,140.0
1002,0.0
1003,0.0
1004,190.0
1005,986.0
1006,3480.0
1007,12756.91
1008,2267.8
1009,2126.5
1010,134.74
1011,0.0
1012,8780.97
1013,402.6
1014,3165.72
1015,0.0
1016,5000.0
1017,27290.73
1018,3786.35
1019,1809.15
1020,1925.0
1021,1500.0
1022,81.22
1023,2294.48
1024,0.0
1025,0.0
1026,0.0
1027,276.64
1028,0.0
1029,190.0
1030,0.0
1031,1799.35
1032,3470.09
1033,172.0
1034,0.0
1035,28600.0
1036,22724.77
1037,53.0
1038,0.0
1039,23663.42
1040,16260.01
1041,3146.62
1042,27126.01
1043,6439.6
1044,6440.3
1045,730.46
1046,853.76
1047,0.0
1048,0.0
1049,994.0
1050,2320.0
1051,209.99
1052,0.0
1053,0.0
1054,1159.15
1055,0.0
1056,0.0
1057,0.0
1058,394.74
1059,22.0
1060,549.01
1061,2687.1
1062,152.0
1063,1385.5
1064,417.6
1065,500.0
1066,24786.66
1067,313.2
1068,669.82
1069,4766.66
1070,3041.06
1071,1498.7
1072,-4923.41
1073,26216.01
1074,0.0
1075,22.0
1076,1400.0
1077,11600.0
1078,449.96
1079,367.72
1080,26216.01
1081,3294.17
1082,1639.7
1083,4176.0
1084,300.0
1085,400.0
1086,1250.0
1087,152.0
1088,270.16
1089,6932.38
1090,4725.3
1091,3003.36
1092,25891.01
1093,3360.0
1094,2055.5
1095,504.0
1096,2172.75
1097,28600.0
1098,2422.55
1099,3480.0
1100,2088.0
1101,5278.0
1102,0.0
1103,307.0
1104,0.0
1105,1350.0
1106,0.0
1107,1885.64
